City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,13.45,94,4,3.92,CL,1674456166
1,rikitea,-23.1203,-134.9692,26.17,75,0,6.95,PF,1674456167
2,kapaa,22.0752,-159.319,22.28,91,6,2.74,US,1674456167
3,busselton,-33.65,115.3333,31.76,34,0,6.72,AU,1674456168
4,mar del plata,-38.0023,-57.5575,16.72,89,0,3.13,AR,1674455907
5,ushuaia,-54.8,-68.3,12.81,47,0,4.12,AR,1674456168
6,hilo,19.7297,-155.09,23.49,95,0,2.06,US,1674456120
7,chokurdakh,70.6333,147.9167,-44.77,100,61,0.6,RU,1674456169
8,vaini,-21.2,-175.2,29.09,79,20,2.57,TO,1674456169
9,sao filipe,14.8961,-24.4956,20.63,63,3,4.14,CV,1674455606
10,te anau,-45.4167,167.7167,16.67,50,7,3.31,NZ,1674456170
11,nuevo progreso,23.1667,-97.95,17.48,63,100,1.84,MX,1674456170
12,ponta delgada,37.7333,-25.6667,15.4,82,20,7.2,PT,1674456171
13,clyde river,70.4692,-68.5914,-30.87,76,100,12.86,CA,1674455603
14,arsikere,13.3139,76.2561,27.39,35,3,4.17,IN,1674456171
15,inirida,3.8653,-67.9239,22.26,98,98,0.59,CO,1674456172
16,port hardy,50.6996,-127.4199,5.1,87,100,3.09,CA,1674455405
17,punta arenas,-53.15,-70.9167,11.06,76,0,6.17,CL,1674456052
18,new norfolk,-42.7826,147.0587,17.45,86,100,0.68,AU,1674456173
19,slave lake,55.2834,-114.769,-8.01,93,0,1.03,CA,1674456173
20,sirajganj,24.45,89.7167,20.14,49,94,0.47,BD,1674456174
21,cape town,-33.9258,18.4232,23.95,68,0,2.24,ZA,1674455996
22,ponta do sol,32.6667,-17.1,16.35,58,61,3.79,PT,1674456174
23,petropavlovsk-kamchatskiy,53.0452,158.6483,-12.67,85,75,2.0,RU,1674456175
24,georgetown,5.4112,100.3354,31.97,62,20,4.63,MY,1674456030
25,santa cruz del norte,23.1539,-81.9236,22.37,87,7,3.71,CU,1674456175
26,qaanaaq,77.484,-69.3632,-33.82,51,0,3.69,GL,1674456176
27,iqaluit,63.7506,-68.5145,-24.15,77,40,3.09,CA,1674456177
28,carnarvon,-24.8667,113.6333,26.05,69,46,9.29,AU,1674456177
29,jamestown,42.097,-79.2353,0.01,72,100,2.06,US,1674456177
30,telma,52.6983,103.7097,-26.8,78,4,3.73,RU,1674456178
31,vao,-22.6667,167.4833,26.6,84,100,5.47,NC,1674456179
32,takoradi,4.8845,-1.7554,26.24,85,53,2.34,GH,1674456179
33,mahibadhoo,3.7833,72.9667,27.07,73,19,4.62,MV,1674456180
34,nikolskoye,59.7035,30.7861,-4.06,95,91,0.76,RU,1674456180
35,hobart,-42.8794,147.3294,18.88,78,100,2.81,AU,1674456000
36,yerbogachen,61.2767,108.0108,-33.18,95,100,3.09,RU,1674456181
